Recipe,Cucumber Carrot Salad,,,,,,,,
Ingredients,,,,,,,,,
Recipe,Green Cabbage Salad,,,,,,,,
Ingredients,,,,,,,,,
,Cabbage,450,g,,,,,,
,Onion,100,g,,,,,,
,Cilantro,0.25,bunches,,,,,,
,Frozen Coconut,35,g,,,,,,
,Mustard seeds,1,tsp,,,,,,
,Jeera,1,tsp,,,,,,
,Hing,0.5,tsp,,,,,,
,Salt,to taste,,,,,,,
,Lemon juice concentrate,1,tbsp,,,,,,
,Black pepper,5,g,,,,,,
,Coconut Oil,1,tbsp,,,,,,
,,,,,,,,,
Steps to Prepare,,,,,,,,,
1,"Shred the cabbage into thin long pieces, and finely chop the onion.  Thaw the coconut to room temperature.  Finely chop the cilantro",,,,,,,,
2,"Mix together cabbage, onion, coconut, cilantro, lemon juice, salt and pepper",,,,,,,,
3,"Heat up coconut oil in a pan.  Once hot add mustard seeds, jeera, hing and curry leaves and add the tempering to the salad",,,,,,,,
4,Mix it all up.  Garnish with some cilantro before serving,,,,,,,,
