,,,
Recipe,Thai Green Curry  with Vegetables and Tofu,,
Ingredients,,,
,Green curry paste,5.0,oz
,Coconut milk,1.5,cans
,Tofu - extra firm,1.5,packets
,Bamboo shoots, canned,0.5,cans
,Red bell pepper,250,g
,Broccoli,350,g
,Cauliflower,400,g
,Sugar,1,tbs
,Cilantro,0.3,bunches
,,,
Steps to Prepare,,,
1,Note that this curry paste is quite spicy so add 75% of the quantity first and then add more if need be towards the end of the dish,,
2,Chop the vegetables and tofu into bite sized pieces (Broccoli + cauliflower 1 inch florets, red bell pepper into 1 inch squares, tofu into 1 inch cubes),,
3,To a large pot add the creamy part of half of the coconut milk and reduce the cocount milk until it starts to release oil,,
4,Add the curry paste and saute for a few minutes until fragrant.  Add broccoli and cauliflower and mix.,,
5,Once a bit tender, bamboo shoots and tofu.  Once cauliflower is about 70% done add the red bell pepper.,,
6,Add remaining coconut milk.  Simmer for a few minutes taking care that the red pepper is still crunchy to eat.,,
7,All vegetables should be cooked with a slight crunch and not mushy.  Switch off flame and add cilantro,,
Reference:,https://hot-thai-kitchen.com/green-curry-new-2/,,
,,,
Recipe,Green papaya salad,,
Ingredients,,,
,Green Papaya,300,g
,Green Beans,50,g
,Carrots,25,g
,Cabbage,25,g
,Tamari,2,tbs
,Tomatoes,25,g
,Garlic,5,g
,Green chillies,1,g
,Lemon juice concentrate,1,tbs
,Sugar,1,tbs
,Salt,to taste,
,Romaine lettuce,100,g
,Sesame seeds,20,g
,Mint,0.5,bunches
,Cilantro,0.5,bunches
,,,
,,,
Steps to Prepare,,,
1,Shred the cabbage into thin long pieces in the food processor.  Shred the lettuce into long thin strips,,
2,Peel the green papaya and grate it in the food processor (thick blade).  Also grate the carrot through the same blade,,
3,Cut the tomatoes into 1/2 inch pieces.  Cut the beans into 1 inch long pieces,,
4,Chop the cilantro and mint,,
5,Combine tamari, garlic, chillies, lemon, sugar, and salt and then toss well to create the dressing,,
6,In a bowl mix all the ingredients garnish with sesame seeds, cilantro and mint,,
7,Let it sit for about 20-30 minutes before serving,,
